Country,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Zimbabwe,Number of births,456000.0,466000.0,473000.0,477000.0,477000.0,474000.0,467000.0,459000.0,450000.0,443000.0,436000.0
Zimbabwe,Infant deaths,24938.0,24585.0,24050.0,22552.0,21710.0,20871.0,20014.0,19029.0,18293.0,17413.0,16769.0
Zimbabwe,Child deaths (aged 1-4 years),15275.0,14584.0,13143.0,11687.0,10104.0,9418.0,9031.0,8566.0,8318.0,7692.0,7397.0
Angola,Survival Estimate,915105.0,946880.0,976862.0,1006674.0,1033974.0,1059831.0,1086081.0,1110650.0,1136931.0,1162557.0,1190310.0
Botswana,Survival Estimate,53099.0,53098.0,53966.0,53936.0,53913.0,54823.0,54683.0,54542.0,53539.0,53591.0,53680.0
Comoros,Survival Estimate,21981.0,22003.0,23039.0,23066.0,23097.0,24134.0,24174.0,24216.0,24256.0,25301.0,25344.0
Democratic Republic of the Congo,Survival Estimate,2506078.0,2586976.0,2665864.0,2742887.0,2818323.0,2891962.0,2963881.0,3033711.0,3103794.0,3173205.0,3241141.0
Eswatini,Survival Estimate,29837.0,29190.0,29532.0,28756.0,28876.0,28935.0,29190.0,28209.0,28116.0,28341.0,28532.0
Lesotho,Survival Estimate,52912.0,52309.0,52452.0,52503.0,52574.0,51625.0,51647.0,51864.0,51992.0,51133.0,51169.0
Madagascar,Survival Estimate,684002.0,696211.0,708269.0,721219.0,735002.0,749687.0,765339.0,781998.0,798639.0,816289.0,832890.0
Malawi,Survival Estimate,531236.0,537385.0,543604.0,550591.0,556620.0,562879.0,568172.0,576150.0,583787.0,594271.0,604288.0
Mauritius,Survival Estimate,15766.0,14776.0,14781.0,13783.0,13788.0,13797.0,12804.0,12807.0,12805.0,12801.0,12794.0
Mozambique,Survival Estimate,846519.0,862302.0,880994.0,900358.0,919584.0,939899.0,961165.0,983245.0,1004179.0,1027073.0,1049493.0
Namibia,Survival Estimate,59841.0,61896.0,62778.0,63595.0,64679.0,65762.0,65744.0,66819.0,66920.0,66990.0,67046.0
Seychelles,Survival Estimate,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,1977.0,1977.0
South Africa,Survival Estimate,1117316.0,1137353.0,1151135.0,1158280.0,1160086.0,1159314.0,1156573.0,1152762.0,1147618.0,1142500.0,1137369.0
United Republic of Tanzania,Survival Estimate,1629110.0,1664536.0,1700350.0,1734555.0,1769382.0,1806277.0,1843927.0,1884000.0,1924899.0,1966692.0,2007778.0
Zambia,Survival Estimate,509830.0,520460.0,530039.0,538552.0,546412.0,554435.0,561673.0,570308.0,580098.0,590159.0,602540.0
Zimbabwe,Survival Estimate,415787.0,426831.0,435807.0,442761.0,445186.0,443711.0,437955.0,431405.0,423389.0,417895.0,411834.0
